num,VideoID,Title,Team1,Team2,LeagueNum
1,1,[하나원큐 K리그 승강플레이오프 2차전] 경남 vs 부산 하이라이트 | Gyeongnam vs Busan Highlight (19.12.08),15,3,8
2,2,[하나원큐 K리그 승강플레이오프 1차전] 부산 vs 경남 하이라이트 | Busan vs Gyeongnam Highlight (19.12.05),3,15,8
3,3,[하나원큐 K리그1] 38R 울산 vs 포항 하이라이트 | Ulsan vs Pohang Highlight (19.12.01),8,14,8
4,4,[하나원큐 K리그1] 38R 대구 vs 서울 하이라이트 | Daegu vs Seoul Highlight (19.12.01),4,1,8
5,5,[하나원큐 K리그1] 38R 전북 vs 강원 하이라이트 | Jeonbuk vs Gangwon Highlight (19.12.01),18,23,8
6,6,[하나원큐 K리그1] 38R 상주 vs 수원 하이라이트 |  Sangju vs Suwon Highlight (19.11.30),26,24,8
7,7,[하나원큐 K리그1] 38R 성남 vs 제주 하이라이트 | Seongnam vs Jeju Highlight (19.11.30),9,22,8
8,8,[하나원큐 K리그1] 38R 경남 vs 인천 하이라이트 | Gyeongnam vs Incheon Highlight (19.11.30),15,5,8
9,9,[하나원큐 K리그1] 37R 제주 vs 수원 하이라이트 | Jeju vs Suwon Highlight (19.11.24),22,24,8
10,10,[하나원큐 K리그1] 37R 인천 vs 상주 하이라이트 | Incheon vs Sangju Highlight (19.11.24),5,26,8
11,11,[하나원큐 K리그1] 37R 성남 vs 경남 하이라이트 | Seongnam vs Gyoengnam Highlight (19.11.24),9,15,8
12,12,[하나원큐 K리그1] 37R 울산 vs 전북 하이라이트 | Ulsan vs Jeonbuk Highlight (19.11.23),8,18,8
13,13,[하나원큐 K리그1] 37R 서울 vs 포항 하이라이트 | Seoul vs Pohang Highlight (19.11.23),1,14,8
14,14,[하나원큐 K리그1] 37R 강원 vs 대구 하이라이트 | Gangwon vs Daegu Highlight (19.11.23),23,4,8
15,15,[하나원큐 K리그1] 36R 대구 vs 전북 하이라이트 | Daegu vs Jeonbuk Highlight (19.11.03),4,18,8
16,16,[하나원큐 K리그1] 36R 서울 vs 울산 하이라이트 | Seoul vs Ulsan Highlight (19.11.03),1,8,8
17,17,[하나원큐 K리그1] 36R 포항 vs 강원 하이라이트 | Pohang vs Gangwon Highlight (19.11.03),14,23,8
18,18,[하나원큐 K리그1] 36R 경남 vs 상주 하이라이트 | Gyeongnam vs Sangju Highlight (19.11.02),15,26,8
19,19,[하나원큐 K리그1] 36R 제주 vs 인천 하이라이트 | Jeju vs Incheon Highlight (19.11.02),22,5,8
20,20,[하나원큐 K리그1] 36R 수원 vs 성남 하이라이트 | Suwon vs Seongnam Highlight (19.11.02),24,9,8
21,21,[하나원큐 K리그1] 35R 인천 vs 수원 하이라이트 | Incheon vs Suwon Highlight (19.10.27),5,24,8
22,22,[하나원큐 K리그1] 35R 경남 vs 제주 하이라이트 | Gyeongnam vs Jeju Highlight (19.10.27),15,22,8
23,23,[하나원큐 K리그1] 35R 상주 vs 성남 하이라이트 | Sangju vs Seongnam Highlight (19.10.27),26,9,8
24,24,[하나원큐 K리그1] 35R 울산 vs 강원 하이라이트 | Ulsan vs Gangwon Highlight (19.10.26),8,23,8
25,25,[하나원큐 K리그1] 35R 전북 vs 서울 하이라이트 | Jeonbuk vs Seoul Highlight (19.10.26),18,1,8
26,26,[하나원큐 K리그1] 35R 포항 vs 대구 하이라이트 | Pohang vs Daegu Highlight (19.10.26),14,4,8
27,27,[하나원큐 K리그1] 34R 대구 vs 울산 하이라이트 | Daegu vs Ulsan Highlight (19.10.20),4,8,8
28,28,[하나원큐 K리그1] 34R 전북 vs 포항 하이라이트 | Jeonbuk vs Pohang Highlight (19.10.20),18,14,8
29,29,[하나원큐 K리그1] 34R 강원 vs 서울 하이라이트 | Gangwon vs Seoul Highlight (19.10.20),23,1,8
30,30,[하나원큐 K리그1] 34R 상주 vs 제주 하이라이트 | Sangju vs Jeju Highlight (19.10.19),26,22,8
31,31,[하나원큐 K리그1] 34R 성남 vs 인천 하이라이트 | Seongnam vs Incheon Highlight (19.10.19),9,5,8
32,32,[하나원큐 K리그1] 34R 수원 vs 경남 하이라이트 | Suwon vs Gyeongnam Highlight (19.10.19),24,15,8
33,33,[하나원큐 K리그1] 33R 상주 vs 강원 하이라이트 | Sangju vs Gangwon Highlight (19.10.06),26,23,8
34,34,[하나원큐 K리그1] 33R 수원 vs 서울 하이라이트 | Suwon vs Seoul Highlight (19.10.06),24,1,8
35,35,[하나원큐 K리그1] 33R 제주 vs 경남 하이라이트 | Jeju vs Gyeongnam Highlight (19.10.06),22,15,8
36,36,[하나원큐 K리그1] 33R 성남 vs 대구 하이라이트 | Seongnam vs Daegu Highlight (19.10.06),9,4,8
37,37,[하나원큐 K리그1] 33R 인천 vs 전북 하이라이트 | Incheon vs Jeonbuk Highlight (19.10.06),5,18,8
38,38,[하나원큐 K리그1] 33R 포항 vs 울산 하이라이트 | Pohang vs Ulsan Highlight (19.10.06),14,8,8
39,39,[하나원큐 K리그1] 30R 경남 vs 전북 하이라이트 | Gyeongnam vs Jeonbuk Highlight (19.10.03),15,18,8
40,40,[하나원큐 K리그1] 30R 울산 vs 강원 하이라이트 | Ulsan vs Gangwon Highlight (19.10.02),8,23,8
41,41,[하나원큐 K리그1] 32R 서울 vs 상주 하이라이트 | Seoul vs Sangju Highlight (19.09.29),1,26,8
42,42,[하나원큐 K리그1] 32R 경남 vs 포항 하이라이트 | Gyeongnam vs Pohang Highlight (19.09.29),15,14,8
43,43,[하나원큐 K리그1] 32R 강원 vs 인천 하이라이트 | Gangwon vs Incheon Highlight (19.09.29),23,5,8
44,44,[하나원큐 K리그1] 32R 전북 vs 수원 하이라이트 | Jeonbuk vs Suwon Highlight (19.09.28),18,24,8
45,45,[하나원큐 K리그1] 32R 대구 vs 제주  하이라이트 | Daegu vs Jeju Highlight (19.09.28),4,22,8
46,46,[하나원큐 K리그1] 32R 울산 vs 성남 하이라이트 | Ulsan vs Seongnam Highlight (19.09.28),8,9,8
47,47,[하나원큐 K리그1] 31R 수원 vs 울산 하이라이트 | Suwon vs Ulsan Highlight (19.09.25),24,8,8
48,48,[하나원큐 K리그1] 31R 성남 vs 강원 하이라이트 | Seongnam vs Gangwon Highlight (19.09.25),9,23,8
49,49,[하나원큐 K리그1] 31R 서울 vs 경남 하이라이트 | Seoul vs Gyeongnam Highlight (19.09.25),1,15,8
50,50,[하나원큐 K리그1] 31R 상주 vs 인천 하이라이트 | Sangju vs Incheon Highlight (19.09.25),26,5,8
51,51,[하나원큐 K리그1] 31R 전북 vs 대구 하이라이트 | Jeonbuk vs Daegu Highlight (19.09.25),18,4,8
52,52,[하나원큐 K리그1] 31R 포항 vs 제주 하이라이트 | Pohang vs Jeju Highlight (19.09.24),14,22,8
53,53,[하나원큐 K리그1] 30R 인천 vs 대구 하이라이트 | Incheon vs Daegu Highlight (19.09.22),5,4,8
54,54,[하나원큐 K리그1] 30R 수원 vs 상주 하이라이트 | Suwon vs Sangju Highlight (19.09.21),24,26,8
55,55,[하나원큐 K리그1] 30R 포항 vs 서울 하이라이트 | Pohang vs Seoul Highlight (19.09.21),14,1,8
56,56,[하나원큐 K리그1] 30R 제주 vs 성남 하이라이트 | Jeju vs Seongnam Highlight (19.09.21),22,9,8
57,57,[하나원큐 K리그1] 29R 성남 vs 수원 하이라이트 | Seongnam vs Suwon Highlight (19.09.15),9,24,8
58,58,[하나원큐 K리그1] 29R 강원 vs 제주 하이라이트 | Gangwon vs Jeju Highlight (19.09.15),23,22,8
59,59,[하나원큐 K리그1] 29R 서울 vs 인천 하이라이트 | Seoul vs Incheon Highlight (19.09.15),1,5,8
60,60,[하나원큐 K리그1] 29R 전북 vs 상주 하이라이트 | Jeonbuk vs Sangju Highlight (19.09.14),18,26,8
61,61,[하나원큐 K리그1] 29R 대구 vs 포항 하이라이트 | Daegu vs Pohang Highlight (19.09.14),4,14,8
62,62,[하나원큐 K리그1] 29R 경남 vs 울산 하이라이트 | Gyeongnam vs Ulsan Highlight (19.09.14),15,8,8
63,63,[하나원큐 K리그1] 28R 강원 vs 경남 하이라이트 | Gangwon vs Gyeongnam Highlight (19.09.01),23,15,8
64,64,[하나원큐 K리그1] 28R 상주 vs 대구 하이라이트 | Sangju vs Daegu Highlight (19.09.01),26,4,8
65,65,[하나원큐 K리그1] 28R 서울 vs 전북 하이라이트 | Seoul vs Jeonbuk Highlight (19.09.01),1,18,8
66,66,[하나원큐 K리그1] 28R 인천 vs 울산 하이라이트 | Incheon vs Ulsan Highlight (19.09.01),5,8,8
67,67,[하나원큐 K리그1] 28R 포항 vs 성남 하이라이트 | Pohang vs Seongnam Highlight (19.08.31),14,9,8
68,68,[하나원큐 K리그1] 28R 수원 vs 제주 하이라이트 | Suwon vs Jeju Highlight (19.08.30),24,22,8
69,69,[하나원큐 K리그1] 27R 포항 vs 인천 하이라이트 | Pohang vs Incheon Highlight (19.08.25),14,5,8
70,70,[하나원큐 K리그1] 27R 제주 vs 서울 하이라이트 | Jeju vs Seoul Highlight (19.08.25),22,1,8
71,71,[하나원큐 K리그1] 27R 울산 vs 상주 하이라이트 | Ulsan vs Sangju Highlight (19.08.24),8,26,8
72,72,[하나원큐 K리그1] 27R 전북 vs 성남 하이라이트 | Jeonbuk vs Seongnam Highlight (19.08.24),18,9,8
73,73,[하나원큐 K리그1] 27R 대구 vs 강원 하이라이트 | Daegu vs Gangwon Highlight (19.08.24),4,23,8
74,74,[하나원큐 K리그1] 27R 경남 vs 수원 하이라이트 | Gyeongnam vs Suwon Highlight (19.08.23),15,24,8
75,75,[하나원큐 K리그1] 26R 인천 vs 제주 하이라이트 | Incheon vs Jeju Highlight (19.08.18),5,22,8
76,76,[하나원큐 K리그1] 26R 상주 vs 포항 하이라이트 | Sangju vs Pohang Highlight (19.08.18),26,14,8
77,77,[하나원큐 K리그1] 26R 대구 vs 경남 하이라이트 | Daegu vs Gyeongnam Highlight (19.08.17),4,15,8
78,78,[하나원큐 K리그1] 26R 강원 vs 수원 하이라이트 | Gangwon vs Suwon Highlight (19.08.17),23,24,8
79,79,[하나원큐 K리그1] 26R 성남 vs 서울 하이라이트 | Seongnam vs Seoul Highlight (19.08.17),9,1,8
80,80,[하나원큐 K리그1] 26R 전북 vs 울산 하이라이트 | Jeonbuk vs Ulsan Highlight (19.08.16),18,8,8
81,81,[하나원큐 K리그1] 25R 울산 vs 대구 하이라이트 | Ulsan vs Daegu Highlight (19.08.11),8,4,8
82,82,[하나원큐 K리그1] 25R 서울 vs 강원 하이라이트 | Seoul vs Gangwon Highlight (19.08.11),1,23,8
83,83,[하나원큐 K리그1] 25R 포항 vs 전북 하이라이트 | Pohang vs Jeonbuk Highlight (19.08.11),14,18,8
84,84,[하나원큐 K리그1] 25R 수원 vs 인천 하이라이트 | Suwon vs Incheon Highlight (19.08.10),24,5,8
85,85,[하나원큐 K리그1] 25R 경남 vs 성남 하이라이트 | Gyeongnam vs Seongnam Highlight (19.08.10),15,9,8
86,86,[하나원큐 K리그1] 25R 제주 vs 상주 하이라이트 | Jeju vs Sangju Highlight (19.08.10),22,26,8
87,87,[하나원큐 K리그1] 24R 인천 vs 성남 하이라이트 | Incheon vs Seongnam Highlight (19.08.04),5,9,8
88,88,[하나원큐 K리그1] 24R 강원 vs 전북 하이라이트 | Gangwon vs Jeonbuk Highlight (19.08.04),23,18,8
89,89,[하나원큐 K리그1] 24R 수원 vs 포항 하이라이트 | Suwon vs Pohang Highlight (19.08.04),24,14,8
90,90,[하나원큐 K리그1] 24R 상주 vs 경남 하이라이트 | Sangju vs Gyeongnam Highlight (19.08.03),26,15,8
91,91,[하나원큐 K리그1] 24R 제주 vs 울산 하이라이트 | Jeju vs Ulsan Highlight (19.08.03),22,8,8
92,92,[하나원큐 K리그1] 24R 서울 vs 대구 하이라이트 | Seoul vs Daegu Highlight (19.08.02),1,4,8
93,93,[하나원큐 K리그1] 23R 강원 vs 포항 하이라이트 | Gangwon vs Pohang Highlight (19.07.31),23,14,8
94,94,[하나원큐 K리그1] 23R 전북 vs 제주 하이라이트 | Jeonbuk vs Jeju Highlight (19.07.31),18,22,8
95,95,[하나원큐 K리그1] 23R 대구 vs 수원 하이라이트 | Daegu vs Suwon Highlight (19.07.30),4,24,8
96,96,[하나원큐 K리그1] 23R 인천 vs 경남 하이라이트 | Incheon vs Gyeongnam Highlight (19.07.30),5,15,8
97,97,[하나원큐 K리그1] 23R 울산 vs 서울 하이라이트 | Ulsan vs Seoul Highlight (19.07.30),8,1,8
98,98,[하나원큐 K리그1] 23R 성남 vs 상주 하이라이트 | Seongnam vs Sangju Highlight (19.07.30),9,26,8
99,99,[하나원큐 K리그1] 17R 울산 vs 상주 하이라이트 | Ulsan vs Sangju Highlight (19.07.24),8,26,8
100,100,[하나원큐 K리그1] 22R 상주 vs 대구 하이라이트 | Sangju vs Daegu Highlight (19.07.21),26,4,8
101,101,[하나원큐 K리그1] 22R 수원 vs 성남 하이라이트 | Suwon vs Seongnam Highlight (19.07.21),24,9,8
102,102,[하나원큐 K리그1] 22R 울산 vs 강원 하이라이트 | Ulsan vs Gangwon Highlight (19.07.21),8,23,8
103,103,[하나원큐 K리그1] 22R 포항 vs 인천 하이라이트 | Pohang vs Incheon Highlight (19.07.20),14,5,8
104,104,[하나원큐 K리그1] 22R 서울 vs 전북 하이라이트 | Seoul vs Jeonbuk Highlight (19.07.20),1,18,8
105,105,[하나원큐 K리그1] 22R 경남 vs 제주 하이라이트 | Gyeongnam vs Jeju Highlight (19.07.20),15,22,8
106,106,[하나원큐 K리그1] 21R 전북 vs 울산 하이라이트 | Jeonbuk vs Ulsan Highlight (19.07.14),18,8,8
107,107,[하나원큐 K리그1] 21R 상주 vs 수원 하이라이트 | Sangju vs Suwon Highlight (19.07.14),26,24,8
108,108,[하나원큐 K리그1] 21R 성남 vs 대구 하이라이트 | Seongnam vs Daegu Highlight (19.07.14),9,4,8
109,109,[하나원큐 K리그1] 21R 인천 vs 서울 하이라이트 | Incheon vs Seoul Highlight (19.07.13),5,1,8
110,110,[하나원큐 K리그1] 21R 제주 vs 포항 하이라이트 | Jeju vs Pohang Highlight (19.07.13),22,14,8
111,111,[하나원큐 K리그1] 21R 강원 vs 경남 하이라이트 | Gangwon vs Gyeongnam Highlight (19.07.12),23,15,8
112,112,[하나원큐 K리그1] 20R 포항 vs 성남 하이라이트 | Pohang vs Seongnam Highlight (19.07.10),14,9,8
113,113,[하나원큐 K리그1] 20R 제주 vs 서울 하이라이트 | Jeju vs Seoul Highlight (19.07.10),22,1,8
114,114,[하나원큐 K리그1] 20R 대구 vs 전북 하이라이트 | Daegu vs Jeonbuk Highlight (19.07.10),4,18,8
115,115,[하나원큐 K리그1] 20R 인천 vs 수원 하이라이트 | Incheon vs Suwon Highlight (19.07.10),5,24,8
116,116,[하나원큐 K리그1] 20R 강원 vs 상주 하이라이트 | Gangwon vs Sangju Highlight (19.07.09),23,26,8
117,117,[하나원큐 K리그1] 20R 경남 vs 울산 하이라이트 | Gyeongnam vs Ulsan Highlight (19.07.09),15,8,8
118,118,[하나원큐 K리그1] 19R 전북 vs 성남 하이라이트 | Jeonbuk vs Seongnam Highlight (19.07.07),18,9,8
119,119,[하나원큐 K리그1] 19R 수원 vs 제주 하이라이트 | Suwon vs Jeju Highlight (19.07.07),24,22,8
120,120,[하나원큐 K리그1] 19R 대구 vs 경남 하이라이트 | Daegu vs Gyeongnam Highlight (19.07.06),4,15,8
121,121,[하나원큐 K리그1] 19R 상주 vs 포항 하이라이트 | Sangju vs Pohang Highlight (19.07.06),26,14,8
122,122,[하나원큐 K리그1] 19R 서울 vs 강원 하이라이트 | Seoul vs Gangwon Highlight (19.07.06),1,23,8
123,123,[하나원큐 K리그1] 19R 울산 vs 인천 하이라이트 | Ulsan vs Incheon Highlight (19.07.06),8,5,8
124,124,[하나원큐 K리그1] 18R 포항 vs 전북 하이라이트 | Pohang vs Jeonbuk Highlight (19.06.30),14,18,8
125,125,[하나원큐 K리그1] 18R 서울 vs 울산 하이라이트 | Seoul vs Ulsan Highlight (19.06.30),1,8,8
126,126,[하나원큐 K리그1] 18R 인천 vs 강원 하이라이트 | Incheon vs Gangwon Highlight (19.06.30),5,23,8
127,127,[하나원큐 K리그1] 18R 수원 vs 경남 하이라이트 | Suwon vs Gyeongnam Highlight (19.06.29),24,15,8
128,128,[하나원큐 K리그1] 18R 제주 vs 대구 하이라이트 | Jeju vs Daegu Highlight (19.06.29),22,4,8
129,129,[하나원큐 K리그1] 18R 성남 vs 상주 하이라이트 | Seongnam vs Sangju Highlight (19.06.28),9,26,8
130,130,[하나원큐 K리그1] 17R 강원 vs 포항 하이라이트 | Gangwon vs Pohang Highlight (19.06.23),23,14,8
131,131,[하나원큐 K리그1] 17R 전북 vs 수원 하이라이트 |  Jeonbuk vs Suwon Highlight (19.06.23),18,24,8
132,132,[하나원큐 K리그1] 17R 대구 vs 서울 하이라이트 |  Daegu vs Seoul Highlight (19.06.22),4,1,8
133,133,[하나원큐 K리그1] 17R 경남 vs 인천 하이라이트 | Gyeongnam vs Incheon Highlight (19.06.22),15,5,8
134,134,[하나원큐 K리그1] 17R 제주 vs 성남 하이라이트 | Jeju vs Seongnam Highlight (19.06.21),22,9,8
135,135,[하나원큐 K리그1] 16R 서울 vs 수원 하이라이트 | Seoul vs Suwon Highlight (19.06.16),1,24,8
136,136,[하나원큐 K리그1] 16R 상주 vs 제주 하이라이트 | Sangju vs Jeju Highlight (19.06.16),26,22,8
137,137,[하나원큐 K리그1] 16R 대구 vs 강원 하이라이트 | Daegu vs Gangwon Highlight (19.06.15),4,23,8
138,138,[하나원큐 K리그1] 16R 성남 vs 경남 하이라이트 | Seongnam vs Gyeongnam Highlight (19.06.15),9,15,8
139,139,[하나원큐 K리그1] 16R 인천 vs 전북 하이라이트 | Incheon vs Jeonbuk Highlight (19.06.15),5,18,8
140,140,[하나원큐 K리그1] 16R 울산 vs 포항 하이라이트 | Ulsan vs Pohang Highlight (19.06.15),8,14,8
